elapsed_ms,inlet_temp_c,inlet_rh_pct,outlet_temp_c,outlet_rh_pct,fan_pct,inlet_ok,outlet_ok
696,35.0,21.0,36.0,22.0,75,1,1
3391,35.0,21.0,36.0,22.0,75,1,1
6086,35.0,21.0,36.0,22.0,75,1,1
8781,35.0,21.0,36.0,22.0,75,1,1
11476,35.0,21.0,36.0,22.0,75,1,1
14172,35.0,21.0,36.0,22.0,75,1,1
16867,35.0,21.0,36.0,22.0,75,1,1
19562,35.0,21.0,36.0,22.0,75,1,1
22258,35.0,21.0,36.0,22.0,75,1,1
24953,35.0,21.0,36.0,22.0,75,1,1
27649,35.0,21.0,36.0,22.0,75,1,1
30344,35.0,21.0,36.0,22.0,75,1,1
33039,35.0,21.0,36.0,22.0,75,1,1
35734,35.0,21.0,36.0,22.0,75,1,1
38429,35.0,21.0,36.0,22.0,75,1,1
41124,33.0,21.0,36.0,22.0,75,1,1
43820,32.0,21.0,35.0,22.0,75,1,1
46516,31.0,21.0,35.0,22.0,75,1,1
49211,29.0,22.0,34.0,22.0,75,1,1
51906,28.0,23.0,34.0,22.0,75,1,1
54602,27.0,24.0,33.0,23.0,75,1,1
57297,26.0,25.0,33.0,23.0,75,1,1
59993,25.0,26.0,32.0,23.0,75,1,1
62688,24.0,27.0,32.0,24.0,75,1,1
65383,23.0,29.0,31.0,24.0,75,1,1
68079,23.0,30.0,31.0,25.0,75,1,1
70774,22.0,31.0,30.0,25.0,75,1,1
73469,22.0,32.0,30.0,26.0,75,1,1
76166,21.0,33.0,30.0,25.0,75,1,1
78861,21.0,34.0,30.0,27.0,75,1,1
81556,21.0,35.0,29.0,26.0,75,1,1
84252,21.0,36.0,29.0,26.0,75,1,1
86947,20.0,37.0,29.0,28.0,75,1,1
89643,20.0,38.0,29.0,27.0,75,1,1
92339,20.0,39.0,28.0,28.0,75,1,1
95034,20.0,39.0,28.0,27.0,75,1,1
97729,20.0,40.0,28.0,28.0,75,1,1
100424,20.0,40.0,28.0,28.0,75,1,1
103119,20.0,41.0,28.0,29.0,75,1,1
105816,20.0,41.0,27.0,29.0,75,1,1
108511,20.0,42.0,27.0,29.0,75,1,1
111206,20.0,42.0,27.0,30.0,75,1,1
113902,20.0,42.0,27.0,30.0,75,1,1
116597,20.0,43.0,27.0,30.0,75,1,1
119292,20.0,43.0,27.0,30.0,75,1,1
121989,20.0,43.0,27.0,31.0,75,1,1
124684,20.0,43.0,26.0,31.0,75,1,1
127379,20.0,44.0,26.0,31.0,75,1,1
130074,20.0,44.0,26.0,31.0,75,1,1
132770,20.0,44.0,26.0,31.0,75,1,1
135465,20.0,44.0,26.0,32.0,75,1,1
138161,20.0,44.0,26.0,32.0,75,1,1
140856,20.0,44.0,26.0,32.0,75,1,1
143551,20.0,45.0,26.0,32.0,75,1,1
146246,20.0,45.0,26.0,32.0,75,1,1
148941,20.0,45.0,26.0,33.0,75,1,1
151638,20.0,45.0,26.0,33.0,75,1,1
154333,20.0,45.0,26.0,33.0,75,1,1
157028,20.0,45.0,26.0,33.0,75,1,1
159723,20.0,45.0,26.0,33.0,75,1,1
162419,20.0,46.0,26.0,34.0,75,1,1
165114,20.0,46.0,26.0,34.0,75,1,1
167810,20.0,45.0,25.0,34.0,75,1,1
170505,20.0,46.0,25.0,34.0,75,1,1
173200,20.0,46.0,25.0,34.0,75,1,1
175895,20.0,46.0,25.0,34.0,75,1,1
178591,20.0,46.0,25.0,34.0,75,1,1
181286,20.0,46.0,25.0,34.0,75,1,1
183982,20.0,46.0,25.0,35.0,75,1,1
186677,19.0,46.0,25.0,35.0,75,1,1
189372,19.0,46.0,25.0,35.0,75,1,1
192068,19.0,46.0,25.0,35.0,75,1,1
194763,19.0,47.0,25.0,35.0,75,1,1
197459,19.0,47.0,25.0,35.0,75,1,1
200155,19.0,47.0,25.0,35.0,75,1,1
202851,19.0,47.0,25.0,35.0,75,1,1
205546,19.0,47.0,25.0,35.0,75,1,1
208241,19.0,47.0,25.0,35.0,75,1,1
210937,19.0,47.0,25.0,35.0,75,1,1
213633,19.0,47.0,25.0,35.0,75,1,1
216328,19.0,47.0,25.0,35.0,75,1,1
219024,19.0,47.0,24.0,36.0,75,1,1
221719,19.0,47.0,24.0,36.0,75,1,1
224414,19.0,47.0,24.0,36.0,75,1,1
227110,19.0,47.0,24.0,36.0,75,1,1
229806,19.0,47.0,24.0,36.0,75,1,1
232501,19.0,47.0,24.0,36.0,75,1,1
235196,19.0,47.0,24.0,36.0,75,1,1
237892,19.0,47.0,24.0,36.0,75,1,1
240587,19.0,47.0,24.0,36.0,75,1,1
243283,19.0,47.0,24.0,36.0,75,1,1
245979,20.0,47.0,24.0,36.0,75,1,1
248674,20.0,47.0,24.0,37.0,75,1,1
251369,20.0,48.0,24.0,37.0,75,1,1
254064,20.0,47.0,24.0,37.0,75,1,1
256760,20.0,47.0,24.0,37.0,75,1,1
259456,20.0,47.0,24.0,37.0,75,1,1
262151,20.0,47.0,24.0,37.0,75,1,1
264847,20.0,47.0,24.0,37.0,75,1,1
