elapsed_ms,inlet_temp_c,inlet_rh_pct,outlet_temp_c,outlet_rh_pct,fan_pct,inlet_ok,outlet_ok
2759,21.0,58.0,0.0,0.0,0,1,1
7519,21.0,58.0,0.0,0.0,0,1,1
12277,21.0,58.0,0.0,0.0,0,1,1
17036,21.0,58.0,0.0,0.0,0,1,1
21795,21.0,58.0,0.0,0.0,0,1,1
26554,21.0,57.0,0.0,0.0,0,1,1
31312,21.0,57.0,0.0,0.0,0,1,1
36072,21.0,57.0,0.0,0.0,0,1,1
40832,21.0,57.0,0.0,0.0,0,1,1
45590,21.0,57.0,0.0,0.0,0,1,1
50350,21.0,57.0,0.0,0.0,0,1,1
55108,21.0,57.0,0.0,0.0,0,1,1
59868,21.0,57.0,0.0,0.0,0,1,1
64626,21.0,57.0,0.0,0.0,0,1,1
69386,21.0,57.0,0.0,0.0,0,1,1
74144,21.0,57.0,0.0,0.0,0,1,1
78904,21.0,57.0,0.0,0.0,0,1,1
83662,21.0,57.0,0.0,0.0,0,1,1
88422,21.0,57.0,0.0,0.0,0,1,1
93180,21.0,57.0,0.0,0.0,0,1,1
97940,21.0,57.0,0.0,0.0,0,1,1
102699,21.0,57.0,0.0,0.0,0,1,1
